incident_id,station_id,ward,latitude,longitude,response_time
1875241,441.0,1.0,43.686558177,-79.599419224,342.0
1875242,116.0,18.0,43.766134782,-79.390039484,288.0
1875243,221.0,21.0,43.743230192,-79.245061178,410.0
1875244,133.0,5.0,43.708659308,-79.478062181,268.0
1875245,132.0,8.0,43.718118427,-79.443184463,336.0
1875246,215.0,25.0,43.773787285,-79.162282369,238.0
1875247,235.0,19.0,43.714810685,-79.304107481,352.0
1875248,231.0,24.0,43.748581746,-79.222367205,421.0
1875249,332.0,10.0,43.652151665,-79.382336044,210.0
1875250,426.0,4.0,43.653882472,-79.451846068,329.0
1875251,225.0,20.0,43.699353607,-79.25917222,222.0
1875252,325.0,13.0,43.656807034,-79.362569263,231.0
1875253,226.0,19.0,43.69527443,-79.292393023,187.0
1875254,341.0,8.0,43.697105447,-79.447635666,235.0
1875255,421.0,5.0,43.693906382,-79.469277049,342.0
1875256,244.0,22.0,43.783286859,-79.288263729,192.0
1875257,225.0,20.0,43.711712845,-79.262511492,304.0
1875258,116.0,17.0,43.767803781,-79.383139545,372.0
1875259,341.0,8.0,43.701555649,-79.448442722,324.0
1875260,226.0,19.0,43.688192965,-79.296947332,282.0
1875261,421.0,5.0,43.691716099,-79.467696023,125.0
1875262,141.0,7.0,43.756598982,-79.497659412,302.0
1875263,115.0,16.0,43.761751872,-79.347229808,367.0
1875264,415.0,1.0,43.718759408,-79.572920656,247.0
1875265,441.0,1.0,43.709060058,-79.587257394,370.0
1875266,431.0,3.0,43.63615695,-79.493427727,257.0
1875267,331.0,10.0,43.641012791,-79.410250172,217.0
1875268,413.0,1.0,43.758460728,-79.589353324,380.0
1875269,314.0,13.0,43.664937283,-79.384595885,325.0
1875270,314.0,13.0,43.664937283,-79.384595885,313.0
1875271,333.0,13.0,43.650463956,-79.371913897,260.0
1875272,311.0,12.0,43.685025923,-79.392854227,223.0
1875273,314.0,11.0,43.657415948,-79.381369962,296.0
1875274,141.0,6.0,43.751177985,-79.489649646,837.0
1875275,145.0,6.0,43.727261798,-79.466361876,366.0
1875276,143.0,6.0,43.746754563,-79.444427765,280.0
1875277,342.0,9.0,43.672958128,-79.443764516,321.0
1875278,443.0,2.0,43.688620231,-79.542873558,280.0
1875279,426.0,9.0,43.649482881,-79.42582447,494.0
1875280,312.0,11.0,43.672162459,-79.38758404,145.0
1875281,133.0,5.0,43.704558176,-79.477117566,211.0
1875282,426.0,4.0,43.637970131,-79.45896633,405.0
1875283,115.0,17.0,43.779634386,-79.345735114,278.0
1875284,223.0,20.0,43.735939066,-79.220204136,355.0
1875285,443.0,2.0,43.675622846,-79.557670607,395.0
1875286,226.0,19.0,43.693144729,-79.291298543,333.0
1875287,145.0,6.0,43.727071857,-79.470978103,452.0
1875288,413.0,1.0,43.734839939,-79.561215603,393.0
1875289,134.0,12.0,43.709615547,-79.390657675,206.0
1875290,443.0,2.0,43.688620231,-79.542873558,240.0
1875291,214.0,25.0,43.78783884,-79.190591081,344.0
1875292,434.0,3.0,43.601412098,-79.546491933,261.0
1875293,423.0,4.0,43.654707051,-79.460048108,405.0
1875294,233.0,16.0,43.755978891,-79.323165235,463.0
1875295,114.0,18.0,43.768523298,-79.416320568,296.0
1875296,112.0,6.0,43.787283202,-79.470089677,18.0
1875297,426.0,4.0,43.64455264,-79.448371367,335.0
1875298,224.0,19.0,43.695129656,-79.303480729,323.0
1875299,326.0,14.0,43.652348033,-79.322920495,294.0
1875300,212.0,25.0,43.813763387,-79.216307113,493.0
1875301,212.0,25.0,43.813763387,-79.216307113,440.0
1875302,132.0,8.0,43.72907163,-79.432027465,279.0
1875303,441.0,2.0,43.692901499,-79.554025372,311.0
1875304,221.0,21.0,43.738092177,-79.260893555,169.0
1875305,343.0,12.0,43.683951315,-79.423896556,252.0
1875306,314.0,11.0,43.656435737,-79.384060503,237.0
1875307,135.0,12.0,43.697836266,-79.420434283,251.0
1875308,343.0,12.0,43.684163501,-79.413394288,319.0
1875309,125.0,16.0,43.718360232,-79.331406395,354.0
1875310,143.0,6.0,43.762836792,-79.456921639,304.0
1875311,315.0,11.0,43.654050661,-79.400429901,294.0
1875312,145.0,6.0,43.730343213,-79.482979312,338.0
1875313,145.0,6.0,43.735853232,-79.464724951,199.0
1875314,125.0,16.0,43.718360232,-79.331406395,382.0
1875315,234.0,24.0,43.767929903,-79.188370019,314.0
1875316,426.0,4.0,43.63871533,-79.446219418,397.0
1875317,324.0,14.0,43.671839381,-79.339216088,256.0
1875318,314.0,11.0,43.658701215,-79.38998391,229.0
1875319,113.0,22.0,43.798175527,-79.333132063,334.0
1875320,142.0,7.0,43.741240045,-79.513685277,229.0
1875321,325.0,13.0,43.656820989,-79.375666006,219.0
1875322,314.0,13.0,43.667372986,-79.381638292,216.0
1875323,431.0,3.0,43.648101533,-79.508003135,375.0
1875324,133.0,8.0,43.715729143,-79.467629198,350.0
1875325,133.0,8.0,43.727828565,-79.440672593,504.0
1875326,325.0,13.0,43.656320085,-79.368620649,282.0
1875327,441.0,1.0,43.677783098,-79.57429876,326.0
1875328,143.0,6.0,43.744266621,-79.44016241,356.0
1875329,146.0,7.0,43.720383565,-79.519117007,367.0
1875330,325.0,13.0,43.659769734,-79.35755999,261.0
1875331,313.0,13.0,43.667295336,-79.373777908,283.0
1875332,442.0,5.0,43.693244011,-79.504671303,262.0
1875333,134.0,12.0,43.699492986,-79.390880117,329.0
1875334,315.0,10.0,43.651437323,-79.399915808,276.0
1875335,442.0,5.0,43.69120453,-79.507982091,257.0
1875336,341.0,9.0,43.690397158,-79.462506186,302.0
1875337,421.0,5.0,43.691726442,-79.471833412,364.0
1875338,222.0,21.0,43.729972578,-79.292071954,293.0
1875339,234.0,24.0,43.751385195,-79.204405571,349.0
1875340,241.0,22.0,43.800525514,-79.33301047,405.0
1875341,215.0,25.0,43.768505572,-79.163018275,424.0
1875342,345.0,9.0,43.664715349,-79.437438262,207.0
1875343,343.0,12.0,43.684455399,-79.421441761,205.0
1875344,232.0,21.0,43.761298362,-79.279457741,355.0
1875345,121.0,15.0,43.745536151,-79.400331842,269.0
1875346,114.0,18.0,43.774676165,-79.409898844,256.0
1875347,226.0,19.0,43.678411337,-79.315934626,317.0
1875348,345.0,9.0,43.664502716,-79.443101255,240.0
1875349,432.0,2.0,43.631453733,-79.570613881,561.0
1875350,425.0,4.0,43.650911581,-79.477233415,324.0
1875351,132.0,8.0,43.723093806,-79.42340934,201.0
1875352,443.0,1.0,43.706724156,-79.551126396,349.0
1875353,413.0,1.0,43.746814212,-79.583807272,294.0
1875354,325.0,13.0,43.65616273,-79.370122585,264.0
1875355,442.0,5.0,43.698342766,-79.511315532,117.0
1875356,334.0,10.0,43.641460543,-79.380868707,437.0
1875357,411.0,7.0,43.761126858,-79.526343016,327.0
1875358,445.0,2.0,43.64739681,-79.560147308,236.0
1875359,423.0,4.0,43.663653669,-79.463803719,148.0
1875360,141.0,6.0,43.759628651,-79.478188325,257.0
1875361,115.0,17.0,43.775832706,-79.33775232,191.0
1875362,141.0,7.0,43.77244242,-79.511399157,333.0
1875363,243.0,23.0,43.789620159,-79.25883875,224.0
1875364,312.0,11.0,43.667516868,-79.399836472,299.0
1875365,142.0,7.0,43.748078032,-79.508056426,223.0
1875366,312.0,11.0,43.670226387,-79.386788062,183.0
1875367,132.0,8.0,43.709603565,-79.427463106,292.0
1875368,325.0,13.0,43.660942697,-79.373565182,203.0
1875369,232.0,21.0,43.750400191,-79.247569661,311.0
1875370,423.0,9.0,43.676573953,-79.463889603,373.0
1875371,225.0,20.0,43.691786742,-79.261818976,295.0
1875372,234.0,24.0,43.75321024,-79.197934496,360.0
1875373,441.0,2.0,43.689956053,-79.563767938,292.0
1875374,413.0,1.0,43.741178771,-79.580123194,360.0
1875375,323.0,14.0,43.672660679,-79.337067401,247.0
1875376,435.0,3.0,43.623095975,-79.497900132,404.0
1875377,244.0,22.0,43.777980494,-79.311206508,279.0
1875378,411.0,7.0,43.753620258,-79.577294512,440.0
1875379,331.0,10.0,43.638110326,-79.421581182,165.0
1875380,423.0,4.0,43.663781598,-79.465229893,201.0
1875381,434.0,3.0,43.595768622,-79.542560595,441.0
1875382,333.0,14.0,43.652047785,-79.344293015,341.0
1875383,415.0,1.0,43.713491739,-79.544209622,470.0
1875384,223.0,20.0,43.707215365,-79.235385685,332.0
1875385,432.0,3.0,43.619013123,-79.56360349,343.0
1875386,421.0,5.0,43.686289517,-79.466549242,361.0
1875387,213.0,25.0,43.803335753,-79.211967464,338.0
1875388,324.0,14.0,43.660474154,-79.350519238,252.0
1875389,343.0,12.0,43.684163501,-79.413394288,696.0
1875390,334.0,10.0,43.637464154,-79.397226754,236.0
1875391,422.0,4.0,43.66172711,-79.49882814,300.0
1875392,342.0,9.0,43.67155746,-79.448303801,329.0
1875393,145.0,7.0,43.718761388,-79.518429382,576.0
1875394,413.0,1.0,43.73634816,-79.581049273,150.0
1875395,331.0,10.0,43.648411331,-79.402363996,354.0
1875396,112.0,18.0,43.776493999,-79.430255343,221.0
1875397,412.0,1.0,43.742084711,-79.62607253,234.0
1875398,326.0,14.0,43.668086499,-79.321274637,300.0
1875399,115.0,17.0,43.781765295,-79.346802227,426.0
1875400,422.0,5.0,43.669421856,-79.4961619,379.0
1875401,432.0,3.0,43.62701453,-79.542618192,350.0
1875402,123.0,16.0,43.750085792,-79.346873385,289.0
1875403,142.0,7.0,43.755928554,-79.524287102,259.0
1875404,114.0,18.0,43.767471751,-79.412448572,259.0
1875405,413.0,1.0,43.730115182,-79.588558312,231.0
1875406,234.0,24.0,43.758970298,-79.197580126,297.0
1875407,243.0,21.0,43.774396555,-79.253549694,434.0
1875408,214.0,25.0,43.80238586,-79.140722174,441.0
1875409,344.0,12.0,43.680344456,-79.41438833,306.0
1875410,141.0,6.0,43.757359037,-79.484539689,321.0
1875411,425.0,4.0,43.64831234,-79.485752577,305.0
1875412,133.0,5.0,43.708659308,-79.478062181,273.0
1875413,133.0,8.0,43.705946209,-79.465161708,369.0
1875414,325.0,13.0,43.65616273,-79.370122585,173.0
1875415,114.0,18.0,43.769728786,-79.410809262,212.0
1875416,413.0,1.0,43.735915852,-79.55643736,407.0
1875417,441.0,1.0,43.699746422,-79.60147424,453.0
1875418,146.0,6.0,43.723025783,-79.506344844,344.0
1875419,413.0,1.0,43.740785527,-79.576047462,206.0
1875420,443.0,1.0,43.698359519,-79.545961884,487.0
1875421,125.0,16.0,43.717879292,-79.347258366,450.0
1875422,224.0,19.0,43.693020704,-79.314936831,323.0
1875423,334.0,10.0,43.638453706,-79.392226471,253.0
1875424,146.0,7.0,43.724772382,-79.51042617,251.0
1875425,141.0,7.0,43.77244242,-79.511399157,316.0
1875426,445.0,1.0,43.69200594,-79.568806241,527.0
1875427,234.0,24.0,43.765447058,-79.199472787,293.0
1875428,435.0,3.0,43.614949433,-79.48866413,466.0
1875429,111.0,18.0,43.793629606,-79.409256754,404.0
1875430,443.0,2.0,43.664909811,-79.519161977,486.0
1875431,314.0,13.0,43.665840416,-79.384953866,229.0
1875432,314.0,13.0,43.660439382,-79.375899581,408.0
1875433,242.0,23.0,43.798407447,-79.273366244,265.0
