station_id,station_ward,station_address,station_longitude,station_latitude
211,23,900 Tapscott Rd,-79.2428700353868, 43.8239927252015
342,9,106 Ascot Ave,-79.4486262604651, 43.6793661319391
214,25,745 Meadowvale Rd,-79.1636016041726, 43.7942107669436
426,4,140 Lansdowne Ave,-79.4388667003996, 43.6450864408369
121,15,10 William Carson Cres,-79.4067807494981, 43.7485400772289
412,1,267 Humberline Dr,-79.6176378075318, 43.7381082893591
134,8,16 Montgomery Ave,-79.3997683142874, 43.709656759521
331,10,33 Claremont St,-79.4097737524017, 43.6473361193742
115,17,115 Parkway Forest Dr,-79.340686070112, 43.7744035511644
132,8,476 Lawrence Ave W,-79.4285718669164, 43.7197981523396
433,3,615 Royal York Rd,-79.5029381693498, 43.6280185381182
341,12,555 Oakwood Ave,-79.4411405905638, 43.6945203032832
311,12,20 Balmoral Ave,-79.3939758413006, 43.6859508063859
323,14,153 Chatham Ave,-79.3346621153039, 43.6795428878229
234,24,40 Coronation Dr,-79.1915220291274, 43.7610681663423
221,20,2575 Eglinton Ave E,-79.2550627035035, 43.7347901432983
224,19,1313 Woodbine Ave,-79.3165970101621, 43.6951874596139
244,22,2340 Birchmount Rd,-79.2991153286616, 43.7816824952725
123,16,143 Bond Ave,-79.346726033251, 43.7458140063562
131,15,3135 Yonge St,-79.4021572823979, 43.7262170049856
223,20,116 Dorset Rd,-79.2332610776553, 43.7239567617954
231,24,740 Markham Rd,-79.2277876628423, 43.7646440088669
312,11,34 Yorkville Ave,-79.3889203795552, 43.6718748612736
243,23,4560 Sheppard Ave E,-79.2629602053098, 43.7891369171176
444,2,666 Renforth Dr,-79.5826959880308, 43.6574667398934
423,4,358 Keele St,-79.4647539608107, 43.6647417825914
212,25,8500 Sheppard Ave E,-79.1886200061229, 43.8049322415793
227,19,1904 Queen St E,-79.3050381995295, 43.6691630088656
222,20,755 Warden Ave,-79.2840906195968, 43.7203994274048
213,23,7 Lapsley Rd,-79.2259619086159, 43.7954066088734
445,2,280 Burnhamthorpe Rd,-79.5451030832103, 43.649348178119
413,1,1549 Albion Rd,-79.5869058522884, 43.7402187055703
116,17,255 Esther Shiner Blvd,-79.3650636554859, 43.7691459436276
432,3,155 The East Mall,-79.5493536952449, 43.6233410114915
225,20,3600 Danforth Ave,-79.2684946045652, 43.6959168731747
431,3,308 Prince Edward Dr S,-79.5048470438209, 43.6464360660255
415,1,2120 Kipling Ave,-79.5703767704744, 43.7178772080563
113,17,700 Seneca Hill Dr,-79.3508330020753, 43.7931779343076
133,5,1505 Lawrence Ave W,-79.482184879151, 43.7071848480233
421,5,6 Lambton Ave,-79.4853016276853, 43.6843003946467
142,7,2753 Jane St,-79.5143706434163, 43.7459827062059
344,11,240 Howland Ave,-79.4118241402967, 43.6729622271664
315,11,132 Bellevue Ave,-79.4047817252926, 43.6568245874366
325,13,475 Dundas St E,-79.3648542022226, 43.6593705340714
443,2,1724 Islington Ave,-79.5385536449026, 43.678071015543
146,7,2220 Jane St,-79.5097760967724, 43.7235728614792
143,6,1009 Sheppard Ave W,-79.4597267967044, 43.7506541444208
245,21,1600 Birchmount Rd,-79.2915184052647, 43.7626918218058
333,13,207 Front St E,-79.3661539690352, 43.6505208079754
241,22,3325 Warden Ave,-79.3238025417745, 43.8140419797109
145,6,20 Beffort Rd,-79.4600322095888, 43.7347555131408
235,16,200 Bermondsey Rd,-79.3149344230792, 43.7242534211126
442,5,2015 Lawrence Ave W,-79.5123844108684, 43.7005987011636
411,7,75 Toryork Dr,-79.5491654346987, 43.7552582620875
112,6,5700 Bathurst St,-79.4442860463118, 43.7762855215206
111,18,3300 Bayview Ave,-79.3936558799113, 43.7901270072937
114,18,12 Canterbury Pl,-79.4153547749349, 43.7726358500692
334,10,339 Queens Quay W,-79.388613016358, 43.6376903109341
324,14,840 Gerrard St E,-79.3435181858772, 43.6677666816198
313,13,441 Bloor St E,-79.3755640527746, 43.6720950557577
335,10,235 Cibola Ave,-79.3590745052274, 43.6254007460108
345,9,1285 Dufferin St,-79.4382561763956, 43.6673118906754
135,8,325 Chaplin Cres,-79.4187941157764, 43.7031244599412
122,15,2545 Bayview Ave,-79.3837259589611, 43.7486446150086
242,23,2733 Brimley Rd,-79.2772562802889, 43.8069196445835
125,16,1109 Leslie St,-79.3491121871106, 43.721135794691
435,3,130 Eighth St,-79.5069699933954, 43.6011185170765
232,21,1550 Midland Ave,-79.2668510713279, 43.7549669455776
321,15,231 McRae Dr,-79.3646982931217, 43.7087140108462
233,16,59 Curlew Dr,-79.3143827967515, 43.7439181729465
141,7,4100 Keele St,-79.4927235946077, 43.7668215104353
434,3,3 Lunness Rd,-79.5439889406404, 43.6025703358919
326,14,30 Knox Ave,-79.3250072916157, 43.6615387594206
425,4,83 Deforest Rd,-79.4780588288151, 43.6479870238738
422,4,590 Jane St,-79.4909539255521, 43.6643501513487
346,10,90 Quebec St,-79.4213297269953, 43.6336769840123
226,19,87 Main St,-79.2990652659353, 43.6819233409924
343,12,65 Hendrick Ave,-79.4307521572934, 43.6801051517752
215,25,5318 Lawrence Ave E,-79.1480658922187, 43.7773919350636
314,13,12 Grosvenor St,-79.3846617684612, 43.6630574201831
332,10,260 Adelaide St W,-79.3895641902632, 43.6483065339531
144,6,2945 Keele St,-79.4833157393748, 43.7352376372053
441,1,947 Martin Grove Rd,-79.5719196489125, 43.6949604663995
322,14,256 Cosburn Ave,-79.3423437199078, 43.6909861622398
